Age	Gender	Screen Time Type	Day Type	Average Screen Time (hours)
5	Male	Educational	Weekday	0.44
5	Male	Recreational	Weekday	1.11
5	Male	Total	Weekday	1.55
5	Male	Educational	Weekend	0.5
5	Male	Recreational	Weekend	1.44
5	Male	Total	Weekend	1.93
5	Female	Educational	Weekday	0.49
5	Female	Recreational	Weekday	0.96
5	Female	Total	Weekday	1.45
5	Female	Educational	Weekend	0.5
5	Female	Recreational	Weekend	1.4
5	Female	Total	Weekend	1.9
5	Other/Prefer not to say	Educational	Weekday	0.52
5	Other/Prefer not to say	Recreational	Weekday	0.98
5	Other/Prefer not to say	Total	Weekday	1.5
5	Other/Prefer not to say	Educational	Weekend	0.44
5	Other/Prefer not to say	Recreational	Weekend	1.51
5	Other/Prefer not to say	Total	Weekend	1.95
6	Male	Educational	Weekday	0.64
6	Male	Recreational	Weekday	1.39
6	Male	Total	Weekday	2.02
6	Male	Educational	Weekend	0.74
6	Male	Recreational	Weekend	1.75
6	Male	Total	Weekend	2.49
6	Female	Educational	Weekday	0.57
6	Female	Recreational	Weekday	1.37
6	Female	Total	Weekday	1.95
6	Female	Educational	Weekend	0.83
6	Female	Recreational	Weekend	1.63
6	Female	Total	Weekend	2.46
6	Other/Prefer not to say	Educational	Weekday	0.59
6	Other/Prefer not to say	Recreational	Weekday	1.41
6	Other/Prefer not to say	Total	Weekday	2
6	Other/Prefer not to say	Educational	Weekend	0.58
6	Other/Prefer not to say	Recreational	Weekend	1.91
6	Other/Prefer not to say	Total	Weekend	2.49
7	Male	Educational	Weekday	0.8
7	Male	Recreational	Weekday	1.75
7	Male	Total	Weekday	2.55
7	Male	Educational	Weekend	1.08
7	Male	Recreational	Weekend	2.14
7	Male	Total	Weekend	3.22
7	Female	Educational	Weekday	0.81
7	Female	Recreational	Weekday	1.61
7	Female	Total	Weekday	2.42
7	Female	Educational	Weekend	0.66
7	Female	Recreational	Weekend	2.53
7	Female	Total	Weekend	3.19
7	Other/Prefer not to say	Educational	Weekday	0.76
7	Other/Prefer not to say	Recreational	Weekday	1.74
7	Other/Prefer not to say	Total	Weekday	2.5
7	Other/Prefer not to say	Educational	Weekend	0.75
7	Other/Prefer not to say	Recreational	Weekend	2.28
7	Other/Prefer not to say	Total	Weekend	3.02
8	Male	Educational	Weekday	0.85
8	Male	Recreational	Weekday	2.18
8	Male	Total	Weekday	3.03
8	Male	Educational	Weekend	1.29
8	Male	Recreational	Weekend	2.57
8	Male	Total	Weekend	3.86
8	Female	Educational	Weekday	0.93
8	Female	Recreational	Weekday	2.02
8	Female	Total	Weekday	2.95
8	Female	Educational	Weekend	1
8	Female	Recreational	Weekend	2.61
8	Female	Total	Weekend	3.62
8	Other/Prefer not to say	Educational	Weekday	0.97
8	Other/Prefer not to say	Recreational	Weekday	2.03
8	Other/Prefer not to say	Total	Weekday	3
8	Other/Prefer not to say	Educational	Weekend	0.91
8	Other/Prefer not to say	Recreational	Weekend	2.98
8	Other/Prefer not to say	Total	Weekend	3.89
9	Male	Educational	Weekday	0.73
9	Male	Recreational	Weekday	2.9
